city,school,menu_name,menu_date
부산광역시,명호고등학교,*산채비빔밥(연)  (1.5.6.13.18.)<br/>두부된장국  (5.6.9.13.18.)<br/>회오리감자  (1.2.5.6.)<br/>김치(명호)  (9.)<br/>약고추장(채식)  (5.6.13.)<br/>식혜  ,20220422
부산광역시,명호고등학교,통밀밥  (6.)<br/>돼지고기김치찌개1  (5.6.9.10.13.)<br/>김가루청포묵무침(a)*  (2.5.6.13.18.)<br/>새우까스  (1.2.5.6.9.12.13.14.16.18.)<br/>납작만두&비빔채소  (1.3.4.5.6.10.13.)<br/>치폴레소스  (1.5.13.)<br/>깍두기(명호)  (9.),20220425
부산광역시,명호고등학교,팥찰밥  (5.6.)<br/>쇠고기미역국1  (5.6.13.16.)<br/>돼지갈비찜(감자/밤/표고)  (5.6.10.13.16.18.)<br/>오이무침*  (5.6.9.13.)<br/>파프리카잡채  (1.2.3.4.5.6.8.10.13.18.)<br/>김치(명호)  (9.)<br/>슈크림  (1.2.5.6.16.),20220502
부산광역시,명호고등학교,보리밥(할맥)  <br/>한우우거지국*  (5.6.13.16.)<br/>*부추겉절이(연)  (5.6.13.)<br/>비엔나떡볶음  (1.2.5.6.10.12.13.15.16.18.)<br/>가자미포카레구이  (2.4.5.6.10.12.13.15.16.18.)<br/>김치(명호)  (9.),20220503
부산광역시,명호고등학교,김치볶음밥  (5.9.10.13.)<br/>어묵국  (1.5.6.7.8.9.13.16.18.)<br/>로제떡볶이  (1.2.5.6.10.12.13.15.16.17.)<br/>모듬튀김  (1.2.5.6.10.15.16.17.18.)<br/>아이스크림1  (2.5.6.13.)<br/>깍두기(명호)  (9.),20220504
부산광역시,명호고등학교,미소팽이장국  (5.6.13.)<br/>주꾸미콩나물비빔밥  (2.5.6.10.13.16.17.18.)<br/>고구마치즈또띠아  (1.2.5.6.10.12.)<br/>김치(명호)  (9.)<br/>저당요구르트  (2.),20220509
부산광역시,명호고등학교,검정쌀밥1  <br/>양념장  (5.6.13.)<br/>건새우아욱국(표준)  (5.6.9.13.18.)<br/>세발나물무침  (5.6.9.)<br/>오리불고기(느타리/떡)  (2.5.6.13.15.18.)<br/>두부구이(안)  (1.5.6.13.)<br/>김치(명호)  (9.),20220510
부산광역시,명호고등학교,잔멸치김가루주먹밥  (1.2.5.6.13.16.18.)<br/>해물칼국수1  (4.5.6.9.10.13.15.16.18.)<br/>배추겉절이(유자)  (9.13.)<br/>치즈핫도그  (1.2.5.6.10.12.13.16.),20220511
부산광역시,명호고등학교,현미밥  <br/>부대찌개*  (1.2.5.6.9.10.12.13.15.16.18.)<br/>계란찜  (1.5.9.13.)<br/>취나물된장무침  (5.6.)<br/>피쉬*칩스  (1.2.5.6.13.16.18.)<br/>깍두기(명호)  (9.),20220512
부산광역시,명호고등학교,소보루덮밥(채식)  (1.5.6.9.)<br/>유부장국  (5.6.)<br/>채식만두  (1.5.6.)<br/>황도요거트샐러드(a)  (2.5.11.13.)<br/>깍두기(명호)  (9.),20220513
