시도명,학교명,급식날짜,메뉴이름,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),,,,,,,
부산광역시,명호고등학교,2022-09-23,잡채밥자장,650,851.54,125.70,4.00,28.61,21.14,84.11,287.78,2251.34,817.08,32.55,4.83,5.90,36.00,,,,,,,
부산광역시,명호고등학교,2022-09-26,현미밥,230,351.35,77.88,0.00,1.10,6.66,6.01,178.28,42.08,209.33,0.00,1.05,1.65,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-27,고기짬뽕,1000,650.31,118.54,0.00,13.53,25.53,82.74,320.60,3451.37,857.44,32.80,4.61,3.56,105.23,,,,,,,
부산광역시,명호고등학교,2022-09-27,고기짬뽕,1000,650.31,118.54,0.00,13.53,25.53,82.74,320.60,3451.37,857.44,32.80,4.61,3.56,105.23,,,,,,,
부산광역시,명호고등학교,2022-09-28,들깨무채국,500,50.17,4.70,0.00,4.35,2.70,112.70,43.92,1527.55,658.72,0.00,1.11,0.45,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-29,찰보리밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-30,혼합곡잡곡밥추천,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-10-04,기장밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-10-05,중화비빔밥,400,683.62,113.43,5.09,16.84,19.26,119.37,249.11,1155.81,640.97,29.67,4.52,3.57,119.13,,,,,,,
부산광역시,명호고등학교,2022-10-06,혼합곡잡곡밥추천,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-10-07,목살볶음밥안,400,687.74,100.33,0.00,19.29,24.46,58.42,414.66,1441.42,578.88,14.98,3.29,3.45,309.00,,,,,,,
부산광역시,명호고등학교,2022-10-12,김밥줄,200,348.87,63.64,0.00,5.42,10.28,41.45,159.43,951.32,355.38,3.24,3.40,1.91,69.12,,,,,,,
부산광역시,명호고등학교,2022-10-17,찰보리밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-10-18,팥찰밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-10-19,자장면,650,760.88,134.29,7.99,23.16,15.74,166.70,302.56,2447.00,1013.84,37.46,5.33,1.41,3.08,,,,,,,
부산광역시,명호고등학교,2022-10-19,자장면,650,760.88,134.29,7.99,23.16,15.74,166.70,302.56,2447.00,1013.84,37.46,5.33,1.41,3.08,,,,,,,
부산광역시,명호고등학교,2022-10-20,차수수밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-10-21,나물비빔밥,500,703.00,95.68,3.44,25.28,22.60,96.80,289.33,1234.09,742.51,55.80,4.75,4.16,40.20,,,,,,,
부산광역시,명호고등학교,2022-10-21,나물비빔밥,500,703.00,95.68,3.44,25.28,22.60,96.80,289.33,1234.09,742.51,55.80,4.75,4.16,40.20,,,,,,,
부산광역시,명호고등학교,2022-10-21,나물비빔밥,500,703.00,95.68,3.44,25.28,22.60,96.80,289.33,1234.09,742.51,55.80,4.75,4.16,40.20,,,,,,,
부산광역시,명호고등학교,2022-10-24,혼합곡잡곡밥추천,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-10-25,검정쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-10-26,순대돼지국밥,900,690.35,34.23,0.00,16.48,17.34,132.86,239.26,3418.20,672.91,3.45,9.11,6.62,1480.97,,,,,,,
부산광역시,명호고등학교,2022-10-26,순대돼지국밥,900,690.35,34.23,0.00,16.48,17.34,132.86,239.26,3418.20,672.91,3.45,9.11,6.62,1480.97,,,,,,,
